,Tavg,Htg Fraction,,All Conditioning,Overall COP,,,,,,,,,,,,,,,,,,,,,,
,6.650463542,0.680666155,,792.2743056,3.421012334,,,,,,,,,,,,,,,,,,,,,,
,7.675926583,0.680678674,,576.2220833,3.276956954,,,,,,,,,,,,,,,,,,,,,,
,3.664352083,0.682334037,,1079.750556,3.80447576,,,,,,,,,,,,,,,,,,,,,,
,5.849537542,0.682928141,,826.3111111,3.364391748,,,,,,,,,,,,,,,,,,,,,,
,5.023148583,0.686613261,,1019.507083,3.910839244,,,,,,,,,,,,,,,,,,,,,,
,7.520834125,0.686847185,,839.8455556,3.51814985,,,,,,,,,,,,,,,,,,,,,,
,6.615741333,0.694311558,,932.3218056,3.572147791,,,,,,,,,,,,,,,,,,,,,,
,7.729167375,0.701718188,,787.8455556,3.52050671,,,,,,,,,,,,,,,,,,,,,,
,6.682870917,0.707355946,,919.2054167,3.421182661,,,,,,,,,,,,,,,,,,,,,,
,7.543982208,0.709122933,,886.9726389,3.594174874,,,,,,,,,,,,,,,,,,,,,,
,5.912037458,0.711556027,,780.0475,3.447907238,,,,,,,,,,,,,,,,,,,,,,
,6.495370833,0.712767279,,926.0783333,3.654457731,,,,,,,,,,,,,,,,,,,,,,
,4.87731525,0.714444585,,1040.078333,3.58996844,,,,,,,,,,,,,,,,,,,,,,
,3.817129875,0.715433244,,1212.369306,4.022277265,,,,,,,,,,,,,,,,,,,,,,
,6.789352208,0.716745549,,935.5545833,3.382979161,,,,,,,,,,,,,,,,,,,,,,
,3.826389125,0.717638715,,747.2695833,3.16129825,,,,,,,,,,,,,,,,,,,,,,
,6.543982,0.719488486,,648.8147222,3.618586414,,,,,,,,,,,,,,,,,,,,,,
,7.668982042,0.719968072,,696.3491667,3.415642864,,,,,,,,,,,,,,,,,,,,,,
,2.555555625,0.727539236,,1038.681667,3.408412466,,,,,,,,,,,,,,,,,,,,,,
,6.534722667,0.729515382,,698.7458333,2.903532978,,,,,,,,,,,,,,,,,,,,,,
,5.439815292,0.729926314,,1070.078333,3.834710715,,,,,,,,,,,,,,,,,,,,,,
,6.293981958,0.730317256,,990.0522222,3.581169307,,,,,,,,,,,,,,,,,,,,,,
,4.543981792,0.735270813,,1091.681667,3.840425508,,,,,,,,,,,,,,,,,,,,,,
,5.525463458,0.738784332,,941.7505556,3.751536858,,,,,,,,,,,,,,,,,,,,,,
,3.75000025,0.739102539,,1096.216111,3.603596127,,,,,,,,,,,,,,,,,,,,,,
,4.127315167,0.739801379,,1114.533194,3.5677552,,,,,,,,,,,,,,,,,,,,,,
,1.745370583,0.741660029,,1184.485694,3.634786481,,,,,,,,,,,,,,,,,,,,,,
,4.233796667,0.742489073,,1087.3325,3.751523972,,,,,,,,,,,,,,,,,,,,,,
,2.962963167,0.7444677,,1279.681667,3.824241456,,,,,,,,,,,,,,,,,,,,,,
,2.148148375,0.745057228,,1290.485694,3.559954625,,,,,,,,,,,,,,,,,,,,,,
,8.2152785,0.745866427,,762.6227718,3.630587806,,,,,,,,,,,,,,,,,,,,,,
,6.699074583,0.746244938,,736.9311111,3.262380445,,,,,,,,,,,,,,,,,,,,,,
,3.2222225,0.746583887,,1160.147222,3.789869833,,,,,,,,,,,,,,,,,,,,,,
,1.689814917,0.746813881,,1216.496389,3.63689141,,,,,,,,,,,,,,,,,,,,,,
,4.553241208,0.748302543,,1096.554583,3.450042855,,,,,,,,,,,,,,,,,,,,,,
,4.796296708,0.753075756,,1202.798056,3.800746227,,,,,,,,,,,,,,,,,,,,,,
,6.159722792,0.755521385,,830.3384722,3.485631046,,,,,,,,,,,,,,,,,,,,,,
,2.11111125,0.756558751,,1359.670972,3.727673005,,,,,,,,,,,,,,,,,,,,,,
,6.148148792,0.756960566,,1040.983333,3.561101498,,,,,,,,,,,,,,,,,,,,,,
,3.199074333,0.75757501,,1171.496389,3.515994695,,,,,,,,,,,,,,,,,,,,,,
,4.208333667,0.75835953,,1179.438194,3.836312403,,,,,,,,,,,,,,,,,,,,,,
,5.391204125,0.759257928,,1079.994028,3.594617576,,,,,,,,,,,,,,,,,,,,,,
,5.791667167,0.759668532,,773.9311111,3.256491433,,,,,,,,,,,,,,,,,,,,,,
,6.34722275,0.762054555,,798.5023611,3.26504905,,,,,,,,,,,,,,,,,,,,,,
,1.703703833,0.768273306,,854.4548611,3.094420948,,,,,,,,,,,,,,,,,,,,,,
,3.96990775,0.771330092,,1228.845556,3.831394785,,,,,,,,,,,,,,,,,,,,,,
,5.293981875,0.77178235,,1112.972639,3.503984289,,,,,,,,,,,,,,,,,,,,,,
,3.368055792,0.772526939,,1235.311111,3.708043302,,,,,,,,,,,,,,,,,,,,,,
,3.349537375,0.773905291,,858.0475,3.174184631,,,,,,,,,,,,,,,,,,,,,,
,0.988426125,0.776264601,,1385.565278,3.846435407,,,,,,,,,,,,,,,,,,,,,,
,3.259259375,0.777275204,,1266.136528,3.541733743,,,,,,,,,,,,,,,,,,,,,,
,2.178240958,0.779739269,,1339.321806,3.845966835,,,,,,,,,,,,,,,,,,,,,,
,6.800926542,0.780907621,,821.57125,3.48580403,,,,,,,,,,,,,,,,,,,,,,
,4.115741042,0.782321087,,1166.85625,3.731223126,,,,,,,,,,,,,,,,,,,,,,
,4.67592625,0.782504534,,1026.082801,3.426466944,,,,,,,,,,,,,,,,,,,,,,
,2.550926125,0.782854466,,1317.089028,3.581990263,,,,,,,,,,,,,,,,,,,,,,
,3.914352083,0.783545884,,1233.517778,3.630015576,,,,,,,,,,,,,,,,,,,,,,
,6.879630333,0.785941664,,967.0261111,3.384516568,,,,,,,,,,,,,,,,,,,,,,
,4.423611458,0.78795263,,1197.845556,3.362462193,,,,,,,,,,,,,,,,,,,,,,
,4.37500025,0.78818069,,1203.85625,3.523306487,,,,,,,,,,,,,,,,,,,,,,
,-2.435185542,0.78827136,,1563.321806,3.610123021,,,,,,,,,,,,,,,,,,,,,,
,2.481481792,0.790212227,,1339.448889,3.724513102,,,,,,,,,,,,,,,,,,,,,,
,1.513889,0.791155233,,1369.438194,3.644443264,,,,,,,,,,,,,,,,,,,,,,
,4.229166917,0.793270608,,1252.845556,3.597850181,,,,,,,,,,,,,,,,,,,,,,
,3.277778042,0.793687221,,1303.845556,3.547030091,,,,,,,,,,,,,,,,,,,,,,
,1.236111167,0.79549415,,1334.925139,3.255989607,,,,,,,,,,,,,,,,,,,,,,
,2.148148375,0.797429116,,1342.739861,3.483016691,,,,,,,,,,,,,,,,,,,,,,
,5.386574458,0.79941346,,947.2220833,3.577790103,,,,,,,,,,,,,,,,,,,,,,
,3.310185583,0.800357516,,1337.390694,3.798244916,,,,,,,,,,,,,,,,,,,,,,
,1.861111167,0.800566759,,1406.485694,3.808347149,,,,,,,,,,,,,,,,,,,,,,
,-0.307870375,0.800654081,,1535.020139,3.53617455,,,,,,,,,,,,,,,,,,,,,,
,3.650463208,0.800912177,,989.5130556,3.294602792,,,,,,,,,,,,,,,,,,,,,,
,2.634259458,0.801469715,,1420.438194,3.819987682,,,,,,,,,,,,,,,,,,,,,,
,2.9837965,0.801520877,,1395.612778,3.724508382,,,,,,,,,,,,,,,,,,,,,,
,2.041666792,0.80208226,,1414.729167,3.630018171,,,,,,,,,,,,,,,,,,,,,,
,7.083333917,0.802744268,,826.3384722,3.672115993,,,,,,,,,,,,,,,,,,,,,,
,5.423611542,0.803250274,,889.4548611,3.294147914,,,,,,,,,,,,,,,,,,,,,,
,1.293981542,0.804426239,,1436.798056,3.767952868,,,,,,,,,,,,,,,,,,,,,,
,6.131944875,0.804698932,,875.57125,3.599609782,,,,,,,,,,,,,,,,,,,,,,
,1.342592667,0.80483163,,1168.222083,3.7938162,,,,,,,,,,,,,,,,,,,,,,
,1.719907458,0.805883477,,1123.036806,3.422425628,,,,,,,,,,,,,,,,,,,,,,
,2.379629833,0.806375632,,1451.263611,3.550683469,,,,,,,,,,,,,,,,,,,,,,
,1.47453725,0.807862337,,1420.85625,3.543895734,,,,,,,,,,,,,,,,,,,,,,
,1.979166875,0.80826785,,1507.311111,3.918446337,,,,,,,,,,,,,,,,,,,,,,
,4.168981708,0.809679427,,1192.724444,3.338901614,,,,,,,,,,,,,,,,,,,,,,
,1.789352,0.810379868,,1408.078333,3.344758231,,,,,,,,,,,,,,,,,,,,,,
,-0.65972225,0.810581437,,1362.062917,3.15693827,,,,,,,,,,,,,,,,,,,,,,
,4.557870708,0.811187201,,1313.470278,3.794066825,,,,,,,,,,,,,,,,,,,,,,
,1.268518667,0.811987791,,1462.670972,3.610547256,,,,,,,,,,,,,,,,,,,,,,
,-0.125000083,0.812398553,,1497.85625,3.351302105,,,,,,,,,,,,,,,,,,,,,,
,5.997685708,0.814184883,,920.2695833,3.310553243,,,,,,,,,,,,,,,,,,,,,,
,1.7962965,0.814941486,,1480.612778,3.795853184,,,,,,,,,,,,,,,,,,,,,,
,0.497685208,0.815447242,,1549.692361,3.725933156,,,,,,,,,,,,,,,,,,,,,,
,-0.287037042,0.815879102,,1781.438194,4.236093679,,,,,,,,,,,,,,,,,,,,,,
,4.335648583,0.816180072,,935.6983333,3.066148336,,,,,,,,,,,,,,,,,,,,,,
,-1.796296375,0.819131742,,1664.194722,3.693498632,,,,,,,,,,,,,,,,,,,,,,
,0.90972225,0.819273233,,1671.030833,3.933219879,,,,,,,,,,,,,,,,,,,,,,
,1.138888958,0.819612539,,1480.147222,3.542118578,,,,,,,,,,,,,,,,,,,,,,
,0.738425917,0.819756039,,1503.517778,3.501618428,,,,,,,,,,,,,,,,,,,,,,
,1.895833458,0.82036186,,1441.787361,3.539426122,,,,,,,,,,,,,,,,,,,,,,
