,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,,,,,,,,,,,,,,,
ODA Temperature (°C),Count,ODA Temperature (°C),EL 007 (kW),GHE EFT (°C),GHE ExFT (°C),Clg Provided (kW),Bldg Htg Provided (kW),EL 003 (kW),CP Energy (kW),DHW Provided by HP (kW),DHW by LPS (kW),Useful Bldg Htg by LPS (kW),Bldg Htg Uncertainty (kW),Bldg Clg Uncertainty (kW),DHW Htg by HP Uncertainty (kW),Bldg + DHW Htg by HP Uncertainty (kW),EL007+EL011 Uncertainty (kW),EL011 Uncertainty (kW),LPS DHW Uncertainty (kW),LPS Elec. Usage (kW),HtgFrac,COP H4,COP H3,COP H2,COP C3,COP C2,Overall (H+C) COP,Not used,Not used,Not used,Not used,Not used,Error COP H3,Error COP H2,Error COP H3b,Error COP C2,,,,,,,,,,,,,,,,,,,,
28,7,27.95238329,3.165714286,11.82857143,11.75714286,40.71428571,0,11.10571429,1.001923124,0.408574212,0.049880952,0,0,2.239285714,0.033747355,0.033747355,0.105682449,0.19,0.014327213,3.049880952,0.009935452,0.139941247,0.144364916,3.248120335,3.702855923,41.04392735,9.879156181,0,0,0,0,0.015309461,0.011662382,2.744474211,0.012504611,8.610777875,,,,,,,,,,,,,,,,,,0.009935452,,
29,1,28.555558,2.88,11.5,11.4,28,0,10.31,1.03136782,0,0,0,0,1.54,0,0,0.103104025,0.19,0,3,0,0,0,0,2.715809893,27.14841346,7.158621048,0,0,0,0,0,0,0,0,5.563078368,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,17,18,19,20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODA Temperature (°C),Clg Provided (kW),Bldg Clg Uncertainty (kW),Hour Count,ODA Temperature (°C),Clg Provided (kWh),Bldg Clg Uncertainty (kWh),,,,,,,,,,,,,,,,ODA Temperature (°C),Count,Bldg Htg  & DHW provided by HP (kW),Bldg + DHW Htg by HP Uncertainty (kW),Bldg Htg  & DHW provided by HP (kWh),Bldg + DHW Htg by HP Uncertainty (kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15,3,0.158113883,1,-15,3,0.158113883,,,,,,,,,,,,,,,,-15,1,77,3.865876356,77,3.865876356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14,4.333333333,0.230518101,6,-14,26,1.383108606,,,,,,,,,,,,,,,,-14,6,67.75962546,3.402347876,406.5577528,20.41408726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13,4.6,0.245638359,5,-13,23,1.228191795,,,,,,,,,,,,,,,,-13,5,70.51155055,3.54532548,352.5577528,17.7266274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12,10,0.613990147,3,-12,30,1.84197044,,,,,,,,,,,,,,,,-12,3,121.4488388,6.035738608,364.3465165,18.10721582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11,11.2,0.602440703,5,-11,56,3.012203513,,,,,,,,,,,,,,,,-11,5,115.8541121,5.692395123,579.2705607,28.46197561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10,7.583333333,0.40027876,12,-10,91,4.803345125,,,,,,,,,,,,,,,,-10,12,85.98569278,4.266741078,1031.828313,51.20089294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9,12.66666667,0.663123022,6,-9,76,3.978738134,,,,,,,,,,,,,,,,-9,6,107.4746814,5.24915163,644.8480882,31.49490978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8,7.25,0.390900498,4,-8,29,1.563601992,,,,,,,,,,,,,,,,-8,4,60.02846739,3.004728367,240.1138696,12.01891347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7,10.88888889,0.577802367,9,-7,98,5.200221301,,,,,,,,,,,,,,,,-7,9,84.43904512,4.125926151,759.9514061,37.13333536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6,6.794117647,0.362234402,34,-6,231,12.31596966,,,,,,,,,,,,,,,,-6,34,68.89466922,3.42584101,2342.418753,116.4785944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5,7.117647059,0.381119514,68,-5,484,25.91612693,,,,,,,,,,,,,,,,-5,68,63.58394481,3.167306962,4323.708247,215.3768734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4,9.121856867,0.484575287,94,-4,857.4545455,45.55007701,,,,,,,,,,,,,,,,-4,94,58.21650595,2.86023599,5472.351559,268.8621831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,10.86088154,0.58448224,165,-3,1792.045455,96.43956966,,,,,,,,,,,,,,,,-3,165,60.80077706,2.956993066,10032.12821,487.9038559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,9.569230769,0.509105169,260,-2,2488,132.3673439,,,,,,,,,,,,,,,,-2,260,57.64567015,2.821514159,14987.87424,733.5936814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
