Best estimate of cooling provided,Negative values,Best estimate of heating provided,Ambient temperature (°C),,,,
 (kWh/h),(kWh/h),(kWh/h),°C,,,,
Cooling,Cooling,Heating ,ODA,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.777778,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,63,-1.666667,,,,
3,-3,62,-1.666667,,,,
3,-3,62,-1.666667,,,,
3,-3,62,-1.666667,,,,
3,-3,62,-1.666667,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.611111,,,,
3,-3,62,-1.5,,,,
3,-3,62,-1.5,,,,
3,-3,62,-1.5,,,,
3,-3,62,-1.5,,,,
3,-3,62,-1.5,,,,
3,-3,62,-1.5,,,,
3,-3,62,-1.5,,,,
3,-3,62,-1.5,,,,
3,-3,62,-1.5,,,,
3,-3,62,-1.5,,,,
3,-3,61,-1.5,,,,
3,-3,61,-1.5,,,,
3,-3,61,-1.5,,,,
3,-3,61,-1.5,,,,
3,-3,61,-1.5,,,,
3,-3,61,-1.5,,,,
3,-3,61,-1.5,,,,
3,-3,61,-1.5,,,,
3,-3,61,-1.5,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.444445,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,61,-1.388889,,,,
3,-3,60.54545455,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.388889,,,,
3,-3,60,-1.277778,,,,
3,-3,60,-1.277778,,,,
3,-3,60,-1.277778,,,,
3.448275862,-3.448275862,60,-1.277778,,,,
3.448275862,-3.448275862,60,-1.277778,,,,
3.448275862,-3.448275862,60,-1.277778,,,,
4,-4,60,-1.277778,,,,
4,-4,60,-1.277778,,,,
4,-4,60,-1.277778,,,,
4,-4,60,-1.277778,,,,
4,-4,60,-1.277778,,,,
4,-4,60,-1.277778,,,,
4,-4,60,-1.277778,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.222222,,,,
4,-4,60,-1.111111,,,,
4,-4,59,-1.111111,,,,
4,-4,59,-1.111111,,,,
4,-4,59,-1.111111,,,,
4,-4,59,-1.111111,,,,
4,-4,59,-1.111111,,,,
4,-4,59,-1.111111,,,,
4,-4,59,-1.111111,,,,
4,-4,59,-1.111111,,,,
4,-4,59,-1.111111,,,,
